Starting dataset generation. Output file: 'crtbp_natural_language_20260808_234158.jsonl'
Completed Trajectory 1/500 | Saved 648 steps | Cumulative: 648
Completed Trajectory 2/500 | Saved 39 steps | Cumulative: 687
Completed Trajectory 3/500 | Saved 134 steps | Cumulative: 821
Completed Trajectory 4/500 | Saved 987 steps | Cumulative: 1808
Completed Trajectory 5/500 | Saved 156 steps | Cumulative: 1964
Completed Trajectory 6/500 | Saved 988 steps | Cumulative: 2952
Completed Trajectory 7/500 | Saved 40 steps | Cumulative: 2992
Completed Trajectory 8/500 | Saved 258 steps | Cumulative: 3250
Completed Trajectory 9/500 | Saved 39 steps | Cumulative: 3289
Completed Trajectory 10/500 | Saved 152 steps | Cumulative: 3441
Completed Trajectory 11/500 | Saved 34 steps | Cumulative: 3475
Completed Trajectory 12/500 | Saved 42 steps | Cumulative: 3517
Completed Trajectory 13/500 | Saved 38 steps | Cumulative: 3555
Completed Trajectory 14/500 | Saved 34 steps | Cumulative: 3589
Completed Trajectory 15/500 | Saved 124 steps | Cumulative: 3713
Completed Trajectory 16/500 | Saved 258 steps | Cumulative: 3971
Completed Trajectory 17/500 | Saved 515 steps | Cumulative: 4486
Completed Trajectory 18/500 | Saved 343 steps | Cumulative: 4829
Completed Trajectory 19/500 | Saved 499 steps | Cumulative: 5328
Completed Trajectory 20/500 | Saved 39 steps | Cumulative: 5367
Completed Trajectory 21/500 | Saved 986 steps | Cumulative: 6353
Completed Trajectory 22/500 | Saved 987 steps | Cumulative: 7340
Completed Trajectory 23/500 | Saved 262 steps | Cumulative: 7602
Completed Trajectory 24/500 | Saved 37 steps | Cumulative: 7639
Completed Trajectory 25/500 | Saved 63 steps | Cumulative: 7702
Completed Trajectory 26/500 | Saved 40 steps | Cumulative: 7742
Completed Trajectory 27/500 | Saved 38 steps | Cumulative: 7780
Completed Trajectory 28/500 | Saved 192 steps | Cumulative: 7972
Completed Trajectory 29/500 | Saved 192 steps | Cumulative: 8164
Completed Trajectory 30/500 | Saved 989 steps | Cumulative: 9153
Completed Trajectory 31/500 | Saved 211 steps | Cumulative: 9364
Completed Trajectory 32/500 | Saved 45 steps | Cumulative: 9409
Completed Trajectory 33/500 | Saved 42 steps | Cumulative: 9451
Completed Trajectory 34/500 | Saved 396 steps | Cumulative: 9847
Completed Trajectory 35/500 | Saved 897 steps | Cumulative: 10744
Completed Trajectory 36/500 | Saved 38 steps | Cumulative: 10782
Completed Trajectory 37/500 | Saved 299 steps | Cumulative: 11081
Completed Trajectory 38/500 | Saved 329 steps | Cumulative: 11410
Completed Trajectory 39/500 | Saved 40 steps | Cumulative: 11450
Completed Trajectory 40/500 | Saved 33 steps | Cumulative: 11483
Completed Trajectory 41/500 | Saved 304 steps | Cumulative: 11787
Completed Trajectory 42/500 | Saved 31 steps | Cumulative: 11818
Completed Trajectory 43/500 | Saved 265 steps | Cumulative: 12083
Completed Trajectory 44/500 | Saved 990 steps | Cumulative: 13073
Completed Trajectory 45/500 | Saved 149 steps | Cumulative: 13222
Completed Trajectory 46/500 | Saved 236 steps | Cumulative: 13458
Completed Trajectory 47/500 | Saved 41 steps | Cumulative: 13499
Completed Trajectory 48/500 | Saved 291 steps | Cumulative: 13790
Completed Trajectory 49/500 | Saved 382 steps | Cumulative: 14172
Completed Trajectory 50/500 | Saved 573 steps | Cumulative: 14745
Completed Trajectory 51/500 | Saved 36 steps | Cumulative: 14781
Completed Trajectory 52/500 | Saved 43 steps | Cumulative: 14824
Completed Trajectory 53/500 | Saved 32 steps | Cumulative: 14856
Completed Trajectory 54/500 | Saved 598 steps | Cumulative: 15454
Completed Trajectory 55/500 | Saved 851 steps | Cumulative: 16305
Completed Trajectory 56/500 | Saved 307 steps | Cumulative: 16612
Completed Trajectory 57/500 | Saved 180 steps | Cumulative: 16792
Completed Trajectory 58/500 | Saved 44 steps | Cumulative: 16836
Completed Trajectory 59/500 | Saved 405 steps | Cumulative: 17241
Completed Trajectory 60/500 | Saved 42 steps | Cumulative: 17283
Completed Trajectory 61/500 | Saved 442 steps | Cumulative: 17725
Completed Trajectory 62/500 | Saved 34 steps | Cumulative: 17759
Completed Trajectory 63/500 | Saved 287 steps | Cumulative: 18046
Completed Trajectory 64/500 | Saved 36 steps | Cumulative: 18082
Completed Trajectory 65/500 | Saved 266 steps | Cumulative: 18348
Completed Trajectory 66/500 | Saved 273 steps | Cumulative: 18621
Completed Trajectory 67/500 | Saved 37 steps | Cumulative: 18658
Completed Trajectory 68/500 | Saved 37 steps | Cumulative: 18695
Completed Trajectory 69/500 | Saved 42 steps | Cumulative: 18737
Completed Trajectory 70/500 | Saved 37 steps | Cumulative: 18774
Completed Trajectory 71/500 | Saved 759 steps | Cumulative: 19533
Completed Trajectory 72/500 | Saved 792 steps | Cumulative: 20325
Completed Trajectory 73/500 | Saved 38 steps | Cumulative: 20363
Completed Trajectory 74/500 | Saved 37 steps | Cumulative: 20400
Completed Trajectory 75/500 | Saved 258 steps | Cumulative: 20658
Completed Trajectory 76/500 | Saved 362 steps | Cumulative: 21020
Completed Trajectory 77/500 | Saved 118 steps | Cumulative: 21138
