Starting Fresh Llama-3.1-8B-Instruct 3-Epoch SFT on gpua063.delta.ncsa.illinois.edu at Sat Aug 22 06:15:29 CDT 2026
GPU allocated:
NVIDIA A100-SXM4-40GB, 40960 MiB
NVIDIA A100-SXM4-40GB, 40960 MiB
NVIDIA A100-SXM4-40GB, 40960 MiB
NVIDIA A100-SXM4-40GB, 40960 MiB
Hugging Face API token detected.
--- Loading CRTBP Dataset (crtbp_llm_dataset_20260822_031622.jsonl) ---
Hugging Face API token detected.
--- Loading CRTBP Dataset (crtbp_llm_dataset_20260822_031622.jsonl) ---
Hugging Face API token detected.
--- Loading CRTBP Dataset (crtbp_llm_dataset_20260822_031622.jsonl) ---
Hugging Face API token detected.
--- Loading CRTBP Dataset (crtbp_llm_dataset_20260822_031622.jsonl) ---
--- Formatting Chat Templates ---
--- Formatting Chat Templates ---
--- Formatting Chat Templates ---
--- Formatting Chat Templates ---
--- Loading Base Model in Native bfloat16: meta-llama/Llama-3.1-8B-Instruct ---
--- Loading Base Model in Native bfloat16: meta-llama/Llama-3.1-8B-Instruct ---
--- Loading Base Model in Native bfloat16: meta-llama/Llama-3.1-8B-Instruct ---
--- Loading Base Model in Native bfloat16: meta-llama/Llama-3.1-8B-Instruct ---
{'loss': 2.5175, 'grad_norm': 3.2759549617767334, 'learning_rate': 2.054794520547945e-06, 'entropy': 3.6842284321784975, 'num_tokens': 655360.0, 'mean_token_accuracy': 0.5312469452619553, 'epoch': 0.0}
{'loss': 2.4994, 'grad_norm': 3.56742000579834, 'learning_rate': 4.337899543378996e-06, 'entropy': 3.6689590573310853, 'num_tokens': 1310720.0, 'mean_token_accuracy': 0.5350369960069656, 'epoch': 0.0}
{'loss': 2.359, 'grad_norm': 3.515014886856079, 'learning_rate': 6.621004566210046e-06, 'entropy': 3.4350800275802613, 'num_tokens': 1966080.0, 'mean_token_accuracy': 0.5618532925844193, 'epoch': 0.0}
{'loss': 1.9362, 'grad_norm': 2.4943735599517822, 'learning_rate': 8.904109589041095e-06, 'entropy': 2.5959341645240785, 'num_tokens': 2621440.0, 'mean_token_accuracy': 0.629968810081482, 'epoch': 0.0}
{'loss': 1.4167, 'grad_norm': 1.4347658157348633, 'learning_rate': 1.1187214611872146e-05, 'entropy': 1.5083596527576446, 'num_tokens': 3276800.0, 'mean_token_accuracy': 0.7201305657625199, 'epoch': 0.01}
{'loss': 1.0941, 'grad_norm': 0.892396867275238, 'learning_rate': 1.3470319634703196e-05, 'entropy': 1.0352835088968277, 'num_tokens': 3932160.0, 'mean_token_accuracy': 0.7751223057508468, 'epoch': 0.01}
{'loss': 0.9279, 'grad_norm': 0.5851708650588989, 'learning_rate': 1.5753424657534248e-05, 'entropy': 0.9003399103879929, 'num_tokens': 4587520.0, 'mean_token_accuracy': 0.8038405060768128, 'epoch': 0.01}
{'loss': 0.8216, 'grad_norm': 0.46991023421287537, 'learning_rate': 1.80365296803653e-05, 'entropy': 0.7918228805065155, 'num_tokens': 5242880.0, 'mean_token_accuracy': 0.8260824322700501, 'epoch': 0.01}
{'loss': 0.7282, 'grad_norm': 0.38598713278770447, 'learning_rate': 2.0319634703196345e-05, 'entropy': 0.7020320773124695, 'num_tokens': 5898240.0, 'mean_token_accuracy': 0.8472679167985916, 'epoch': 0.01}
{'loss': 0.6515, 'grad_norm': 0.4023669958114624, 'learning_rate': 2.2602739726027396e-05, 'entropy': 0.6429983109235764, 'num_tokens': 6553600.0, 'mean_token_accuracy': 0.86328584253788, 'epoch': 0.01}
{'loss': 0.5926, 'grad_norm': 0.8718507885932922, 'learning_rate': 2.4885844748858446e-05, 'entropy': 0.5962441593408585, 'num_tokens': 7208960.0, 'mean_token_accuracy': 0.8751054883003235, 'epoch': 0.01}
